NOS	ACTR	CIMA	COCH	COCO	COFR	ESAS	FOMA	FRPO	GEST	HYBO	LOPU	MAMA	PADO	PEAS	PHBO	PLCU	PYJO	SATE	STPI	TEBO	TUNI	ZOBO	ZOOL
ID93	4	0	0	2	1	2	4	0	3	0	0	0	1	0	0	0	0	4	0	0	0	1	0
ID94	4	0	0	0	1	15	2	0	4	0	0	0	0	0	0	0	4	2	0	0	0	0	0
ID95	3	0	0	0	0	5	2	0	2	0	0	0	2	0	0	0	2	0	0	1	0	7	1
ID96	8	0	0	2	1	6	6	0	3	0	0	0	0	0	0	0	4	2	0	0	0	1	1
ID97	2	0	0	0	1	1	4	0	1	0	0	0	0	0	0	0	3	3	0	3	0	3	2
ID98	1	0	0	0	6	4	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID99	2	0	0	0	1	8	6	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID100	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	6	0
ID101	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	7	0
ID102	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	4	0	0	0	1	0
ID103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ID104	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	2	0
ID105	2	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0
ID106	4	2	0	0	0	0	2	0	3	3	0	0	0	0	0	0	3	3	0	1	0	4	2
ID107	1	0	0	0	0	0	6	0	1	0	0	0	2	0	0	0	4	3	0	0	0	3	5
ID108	2	0	0	0	0	0	6	0	1	1	0	0	0	0	0	0	3	1	0	0	0	6	2
ID109	2	0	0	0	2	0	4	0	2	1	0	0	2	0	0	2	5	1	0	0	0	4	2
ID110	1	0	0	0	2	0	6	0	2	1	0	0	0	0	0	0	8	2	0	0	0	2	0
ID111	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	4	1	0	0	0	2	5
ID112	1	0	0	0	1	7	4	0	2	0	0	0	0	0	0	0	3	0	0	0	0	4	2
ID113	1	1	0	0	2	24	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ID114	7	0	0	0	1	22	6	0	4	0	0	0	7	0	0	0	5	6	0	0	0	2	0
ID115	2	0	0	0	0	7	4	0	0	0	0	0	15	0	6	0	2	4	0	0	0	3	0
ID116	3	1	0	0	1	0	6	0	2	3	0	0	0	0	0	0	8	2	5	0	0	7	0
ID117	2	1	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	2	0	0	0	2	0
ID118	3	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	1	3	0	0	0	2	2
ID119	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	4	4
ID120	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	4
ID121	3	0	0	0	0	3	4	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0
ID122	10	0	0	0	2	20	2	0	0	0	0	0	0	0	0	6	3	1	0	0	0	3	0
ID123	0	0	0	0	2	18	6	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0
ID124	3	0	0	0	3	2	6	0	5	0	0	0	2	0	0	1	6	0	0	0	0	8	0
ID125	0	0	0	1	4	10	4	0	3	0	0	0	0	0	0	10	6	0	1	0	0	0	0
ID126	3	0	0	0	2	4	4	0	14	0	0	0	2	0	0	3	10	0	1	0	0	7	0
ID127	2	0	0	0	0	5	3	0	1	0	0	0	11	0	0	4	3	0	0	0	0	0	0
ID128	0	0	0	0	0	17	2	0	1	0	0	0	4	0	0	0	3	0	0	0	0	0	0
ID129	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID130	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ID131	0	0	0	0	2	7	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID132	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ID133	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0
ID134	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID135	11	0	0	0	0	1	17	0	6	0	0	0	3	0	0	0	1	0	0	0	0	0	0
ID136	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID137	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID138	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID139	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ID140	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID141	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ID142	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ID143	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID144	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID145	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ID146	2	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
ID147	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID148	3	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID149	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0
ID150	2	0	0	0	0	14	2	0	2	0	0	0	2	0	0	2	3	2	0	0	1	2	0
ID151	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ID152	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID153	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID154	3	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID155	2	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID156	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ID157	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	3	5
ID158	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	0	0	0	3	7
ID159	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	3	5
ID160	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	4	7
ID161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ID162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ID163	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ID164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
ID165	0	0	0	0	1	28	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	2	0
ID166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ID167	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0
ID168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0
ID169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
ID170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
ID171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
ID172	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ID173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ID174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
ID176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ID177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
ID178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ID179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ID180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
ID181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ID182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID183	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0
ID184	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID185	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
