"num";"ptec";"alti";"acac";"acmi";"boco";"bran";"cann";"cult";"four";"fria";"frib";"patu";"exot";"sava";"savh";"tama";"urba"
213;"J9";1010;0,04;0;0;0;0,12;0,3;0;0,33;0;0,23;0;0;0;0;0
214;"J10";1710;0;0,2;0;0;0;0;0;0;0;0;0,81;0;0;0;0
215;"J11";1670;0,07;0,27;0;0;0;0;0;0;0;0;0,67;0;0;0;0
216;"J12";1610;0;0;0;0;0;0;0;0;0;0;0,17;0;0;0,84;0
217;"J13";1570;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
218;"J14";1510;0,1;0,05;0;0;0;0;0;0;0;0,06;0,51;0;0;0,3;0
219;"J15";1410;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
220;"J16";2830;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
221;"J18";2830;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
222;"J20";1700;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
223;"J21";1620;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
224;"J22";2600;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
225;"J23";2400;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
226;"J24";1380;0;0;0,09;0;0;0;0;0;0;0;0,92;0;0;0;0
227;"J25";1350;0;0;0,21;0;0;0;0;0;0;0;0,8;0;0;0;0
228;"J26";1320;0;0;0,18;0;0;0;0;0;0;0;0,83;0;0;0;0
229;"J27";1260;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
230;"J28";1220;0;0;0,2;0;0;0;0;0;0;0;0,81;0;0;0;0
231;"J29";1590;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
232;"J30";1620;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
233;"J31";1720;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
234;"J32";1690;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
235;"J33";1760;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
236;"J34";1700;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
237;"J35";1670;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
238;"J36";1650;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
239;"J37";1620;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
240;"J38";1870;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
241;"J39";1960;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
242;"J40";1860;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
243;"V1";2000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
244;"V2";2150;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
245;"V3";2250;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
246;"V4";2360;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
247;"V5";1950;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
248;"V6";1890;0,25;0;0;0,76;0;0;0;0;0;0;0;0;0;0;0
249;"V7";1820;0;0,71;0;0;0;0;0;0,09;0;0;0;0;0;0,21;0
250;"V11";1950;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
251;"V12";1680;0,05;0;0;0;0;0;0;0;0;0;0,96;0;0;0;0
252;"V14";1250;0;0;0;0;0;0;0;0;0,39;0,62;0;0;0;0;0
253;"V16";1120;0;0;0;0;0;0;0;0,18;0;0,78;0,06;0;0;0;0
254;"V22";320;0;0;0;0;0,72;0,12;0;0;0,07;0;0;0;0;0;0,11
255;"V23";430;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
256;"V25";815;0;0;0;0;0,91;0,06;0;0;0;0;0;0;0;0;0,05
257;"V27";800;0,08;0;0;0;0,66;0,1;0;0,14;0;0;0;0;0;0;0,04
258;"V28";970;0,04;0;0;0;0,05;0,65;0;0,25;0;0;0;0;0;0;0,03
259;"V29";850;0,05;0;0;0;0,15;0,56;0;0,17;0;0;0;0;0;0;0,1
260;"OU126";305;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
261;"OU127";340;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
262;"OU128";390;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
263;"OU129";450;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
264;"OU130";430;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
265;"OU131";530;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
266;"OU132";575;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
267;"OU133";800;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
268;"OU134";905;0,03;0;0;0;0,98;0;0;0;0;0;0;0;0;0;0
269;"OU136";1335;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
270;"OU137";1310;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
271;"OU138";1310;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
272;"OU139";1330;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
273;"OU140";1260;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
274;"OU141";1200;0;0;0,81;0;0;0;0;0,09;0;0,09;0,02;0;0;0;0
275;"OU142";1290;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
276;"OU143";1350;0;0;0,88;0;0;0;0;0;0;0;0,13;0;0;0;0
277;"PN1";1485;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
278;"PN2";1495;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
279;"PN3";1490;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
280;"PN4";1420;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
281;"PN5";1395;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
282;"PN6";1380;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
283;"PN7";1410;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
284;"PN8";1400;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
285;"PN9";1410;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
286;"PN10";1400;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
287;"PN11";1460;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
288;"PN12";1490;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
289;"PN13";1340;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
290;"PN14";1330;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
291;"PN15";1390;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
292;"PN16";1400;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
293;"PN17";1390;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
294;"PN18";1400;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
295;"PN19";1440;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
