"num","ptec","ACTR","CIMA","COCH","COCO","COFR","ESAM","ESAS","FOMA","FRPO","GEST","HYBO","LOPU","MAMA","PADO","PEAS","PHBO","PHLE","PLCU","PYJO","SATE","SECA","SEMO","STPI","TEBO","TUNI","ZOBO","ZOOL"
176,"E18",0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
177,"E19",4,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,2,0
178,"E20",0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"E22",0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,7,0
180,"E23",0,0,0,0,0,0,0,8,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
181,"E25",0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0
182,"E26",5,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
183,"E27",0,0,0,0,0,0,0,6,0,5,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
184,"E28",2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0
185,"E29",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0
186,"E31",4,0,0,0,0,0,0,7,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,3,0
187,"E32",1,0,0,0,0,0,0,2,0,3,0,0,0,0,4,0,0,4,0,5,0,0,0,0,0,2,0
188,"E33",2,0,0,0,0,0,0,2,0,1,0,0,0,0,8,0,0,6,0,0,0,0,1,0,0,4,0
189,"E34",0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
190,"E35",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
191,"E36",0,0,0,0,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
192,"E37",5,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
193,"E38",0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,"E39",3,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
195,"E40",1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"E41",5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,"E42",3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,"E43",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,"E44",0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
200,"E45",0,0,0,0,0,0,0,7,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,"E47",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,"E48",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"E49",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"E50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"J1",2,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0
206,"J2",2,0,0,0,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0
207,"J3",2,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,2,0
208,"J4",3,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0
209,"J5",1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,9,0
210,"J6",5,0,0,6,0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2
211,"J7",5,0,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0
212,"J8",3,0,0,2,1,0,4,10,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
213,"J9",5,0,2,2,4,0,0,6,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,1,0
214,"J10",1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3,2
215,"J11",0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
216,"J12",1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0
217,"J13",1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0
218,"J14",0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0
219,"J15",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0
220,"J16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
221,"J18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
222,"J20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
223,"J21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
224,"J22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2
225,"J23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2
226,"J24",0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
227,"J25",0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,4,0,0,2,1,0,4,0
228,"J26",0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,2,4,0
229,"J27",0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0
230,"J28",0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,0
231,"J29",0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0
232,"J30",0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0
233,"J31",0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0
234,"J32",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,4,1
235,"J33",0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,7,0
236,"J34",0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,7,0
237,"J35",0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,4,0
238,"J36",0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0
239,"J37",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
240,"J38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0
241,"J39",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,3
242,"J40",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0
243,"V1",5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
244,"V2",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,5,0
245,"V3",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0
246,"V4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
247,"V5",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
248,"V6",9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0
