NOS	ALTI	ACDE	ACMI	BOCO	BRAN	CANN	CRYP	CULT	FOEX	FRAR	FRBA	PATU	SAAR	SAHE	TAMA	URBA
ID135	250	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID136	300	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID137	350	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID138	360	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID139	410	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID140	470	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID141	460	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID142	500	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID143	540	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID144	560	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID145	620	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID146	630	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID147	660	0	0	0	0	0.92	0	0	0.08	0	0	0	0	0	0	0
ID148	690	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID149	730	0.15	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0
ID150	790	0.02	0	0.18	0	0.76	0	0	0.04	0	0	0	0	0	0	0
ID151	640	0.02	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0
ID152	670	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID153	710	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID154	760	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID155	790	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID156	830	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID157	620	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID158	1600	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID159	1630	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID160	1690	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID161	1960	0	0	0.41	0	0	0	0	0	0	0	0.59	0	0	0	0
ID162	1910	0.07	0	0	0	0	0	0	0	0	0	0.93	0	0	0	0
ID163	1900	0.02	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0
ID164	1860	0.04	0	0.02	0	0	0	0	0.03	0	0.09	0.83	0	0	0	0
ID165	1840	0	0	0	0	0	0	0	0	0	0.04	0.96	0	0	0	0
ID166	1810	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID167	1800	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID168	1010	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID169	1860	0.06	0	0	0	0	0	0	0	0	0	0.94	0	0	0	0
ID170	1850	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID171	1820	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID172	2070	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID173	2140	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID174	2120	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID175	2070	0.27	0	0	0.73	0	0	0	0	0	0	0	0	0	0	0
ID176	2250	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID177	2300	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID178	2360	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID179	2320	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID180	2300	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID181	2310	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID182	2340	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID183	150	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID184	150	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID185	125	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID186	175	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID187	185	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID188	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID189	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID190	300	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID191	250	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID192	200	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID193	115	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID194	80	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID195	65	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID196	65	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID197	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID198	85	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID199	210	0	0	0	0	0	0	0.55	0	0	0	0	0.45	0	0	0
ID200	320	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID201	170	0	0	0	0	0	0	0	0	0	0	0	0.88	0.12	0	0
ID202	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID203	130	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID204	230	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID205	150	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID206	170	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID207	270	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID208	110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID209	70	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID210	180	0	0	0	0	0	0	0.4	0	0	0	0	0.6	0	0	0
ID211	300	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID212	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID213	80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID214	290	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID215	130	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID216	70	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID217	100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID218	150	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID219	80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID220	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID221	90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID222	90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID223	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID224	40	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID225	70	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID226	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID227	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID228	580	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID229	420	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID230	340	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID231	650	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID232	1060	0.05	0	0	0	0	0.08	0	0.27	0.18	0.38	0	0	0	0	0.05
ID233	1460	0.27	0	0	0	0	0.26	0	0.25	0	0.19	0	0	0	0	0.02
ID234	1080	0.56	0	0	0	0	0.26	0	0.18	0	0	0	0	0	0	0
ID235	1150	0.71	0	0	0	0	0.1	0	0.2	0	0	0	0	0	0	0
ID236	1210	0.95	0	0	0	0	0	0	0.03	0	0.02	0	0	0	0	0
ID237	1240	0	0	0	0	0	0	0	0.02	0	0.98	0	0	0	0	0
ID238	1350	0.07	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0
ID239	1300	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
